seq,timestamp,x,y
1,0.29999997,-6.0,-4.5
2,0.39999996,-5.9891204833984375,-4.5002617835998535
3,0.49999995,-5.973512172698975,-4.501571178436279
4,0.59999994,-5.940104961395264,-4.505063533782959
5,0.69999993,-5.893611907958984,-4.511133670806885
6,0.79999992,-5.838115692138672,-4.521315574645996
7,0.89999991,-5.772166728973389,-4.534165382385254
8,0.9999999,-5.6955976486206055,-4.548985481262207
9,1.09999989,-5.612827301025391,-4.56399393081665
10,1.19999988,-5.540616989135742,-4.575933456420898
11,1.29999987,-5.476673126220703,-4.586284637451172
12,1.3999998599999999,-5.40729284286499,-4.60026216506958
13,1.49999985,-5.322065353393555,-4.620155334472656
14,1.59999984,-5.230620384216309,-4.643146514892578
15,1.6999998299999999,-5.163764476776123,-4.658951759338379
16,1.79999982,-5.089290618896484,-4.676332950592041
17,1.89999981,-5.00747013092041,-4.699361324310303
18,1.9999997999999999,-4.913026809692383,-4.733860492706299
19,2.09999979,-4.812350273132324,-4.776104927062988
20,2.19999978,-4.711421966552734,-4.819921493530273
21,2.29999977,-4.608971118927002,-4.8601531982421875
22,2.39999976,-4.504860877990723,-4.895755290985107
23,2.49999975,-4.400925636291504,-4.931951999664307
24,2.59999974,-4.298752784729004,-4.972809791564941
25,2.69999973,-4.197518825531006,-5.016029357910156
26,2.7999997199999997,-4.098715305328369,-5.064488410949707
27,2.89999971,-3.9997401237487793,-5.112634658813477
28,2.9999997,-3.8987960815429688,-5.156416893005371
29,3.09999969,-3.798618793487549,-5.202051162719727
30,3.19999968,-3.7010655403137207,-5.2529802322387695
31,3.29999967,-3.603332757949829,-5.303601264953613
32,3.3999996599999998,-3.5019571781158447,-5.347066402435303
33,3.49999965,-3.397045612335205,-5.380526542663574
34,3.59999964,-3.2903215885162354,-5.407563209533691
35,3.6999996299999998,-3.18263840675354,-5.430081367492676
36,3.79999962,-3.0751752853393555,-5.453860282897949
37,3.89999961,-2.968581438064575,-5.4810614585876465
38,3.9999995999999998,-2.862182140350342,-5.509195804595947
39,4.09999959,-2.756998062133789,-5.541476726531982
40,4.19999958,-2.651615619659424,-5.573075294494629
41,4.29999957,-2.5451488494873047,-5.600985050201416
42,4.39999956,-2.4374513626098633,-5.6235809326171875
43,4.49999955,-2.3295798301696777,-5.645121097564697
44,4.59999954,-2.221527576446533,-5.665780067443848
45,4.69999953,-2.112832546234131,-5.683042049407959
46,4.79999952,-2.00327467918396,-5.694098949432373
47,4.89999951,-1.9142920970916748,-5.698084354400635
48,4.9999995,-1.8259387016296387,-5.701889991760254
49,5.09999949,-1.7270431518554688,-5.709872245788574
50,5.19999948,-1.6181193590164185,-5.7205939292907715
51,5.29999947,-1.5092535018920898,-5.736778736114502
52,5.39999946,-1.4006738662719727,-5.754623889923096
53,5.49999945,-1.2914409637451172,-5.768016338348389
54,5.59999944,-1.181688904762268,-5.776270866394043
55,5.69999943,-1.0717313289642334,-5.78012752532959
56,5.79999942,-0.9617904424667358,-5.785613536834717
57,5.89999941,-0.8523536920547485,-5.797267913818359
58,5.9999994,-0.7430678606033325,-5.809815406799316
59,6.09999939,-0.6336121559143066,-5.820814609527588
60,6.19999938,-0.5236871838569641,-5.827579498291016
61,6.29999937,-0.413623571395874,-5.826908111572266
62,6.39999936,-0.33055242896080017,-5.826221942901611
63,6.49999935,-0.24326655268669128,-5.8301215171813965
64,6.59999934,-0.14113521575927734,-5.8423285484313965
65,6.69999933,-0.037873804569244385,-5.859228610992432
66,6.7999993199999995,0.07072049379348755,-5.877139091491699
67,6.89999931,0.17995083332061768,-5.890361309051514
68,6.9999993,0.28925609588623047,-5.902920722961426
69,7.09999929,0.39924609661102295,-5.909614086151123
70,7.19999928,0.5093121528625488,-5.907586097717285
71,7.29999927,0.6191786527633667,-5.901671886444092
72,7.39999926,0.729059100151062,-5.896271705627441
73,7.49999925,0.8390012383460999,-5.892345905303955
74,7.59999924,0.9489203691482544,-5.887416362762451
75,7.6999992299999995,1.0588849782943726,-5.8844685554504395
76,7.79999922,1.1689622402191162,-5.883881568908691
77,7.89999921,1.2788987159729004,-5.888391494750977
78,7.9999991999999995,1.388791561126709,-5.893243789672852
79,8.09999919,1.4987156391143799,-5.897531032562256
80,8.19999918,1.6087558269500732,-5.898697853088379
81,8.29999917,1.718742847442627,-5.895596504211426
82,8.39999916,1.8286837339401245,-5.890777111053467
83,8.49999915,1.938450574874878,-5.883450031280518
84,8.59999914,2.048288583755493,-5.877317905426025
85,8.69999913,2.1581945419311523,-5.871933937072754
86,8.79999912,2.2682013511657715,-5.870311737060547
87,8.89999911,2.3782248497009277,-5.869143486022949
88,8.9999991,2.4881911277770996,-5.8656325340271
89,9.09999909,2.598165512084961,-5.862158298492432
90,9.19999908,2.708077907562256,-5.857330799102783
91,9.29999907,2.81801700592041,-5.8528733253479
92,9.39999906,2.9277663230895996,-5.84330415725708
93,9.49999905,3.0362417697906494,-5.824213027954102
94,9.59999904,3.143967866897583,-5.801860332489014
95,9.69999903,3.2521862983703613,-5.7820539474487305
96,9.79999902,3.360776901245117,-5.76447057723999
97,9.89999901,3.4694595336914062,-5.747243881225586
98,9.999999,3.577300786972046,-5.72511100769043
99,10.09999899,3.6836636066436768,-5.696847915649414
100,10.19999898,3.7901320457458496,-5.668948173522949
101,10.29999897,3.8975188732147217,-5.6450324058532715
102,10.39999896,4.00469970703125,-5.620197772979736
103,10.49999895,4.1116228103637695,-5.594278812408447
104,10.59999894,4.219098091125488,-5.570803165435791
105,10.69999893,4.326759338378906,-5.548139572143555
106,10.79999892,4.43427038192749,-5.524767875671387
107,10.89999891,4.542047023773193,-5.502639293670654
108,10.9999989,4.649052619934082,-5.476846694946289
109,11.09999889,4.754940032958984,-5.447005748748779
110,11.19999888,4.86140775680542,-5.41906213760376
111,11.29999887,4.969179630279541,-5.39678955078125
112,11.39999886,5.076910495758057,-5.374205589294434
113,11.49999885,5.183430194854736,-5.346626281738281
114,11.59999884,5.289735317230225,-5.31835412979126
115,11.69999883,5.395943641662598,-5.289722442626953
116,11.79999882,5.5016021728515625,-5.258719444274902
117,11.89999881,5.6049394607543945,-5.220815181732178
118,11.9999988,5.7076287269592285,-5.181293487548828
119,12.09999879,5.811468124389648,-5.144938945770264
120,12.19999878,5.915905952453613,-5.1103739738464355
121,12.29999877,6.019720077514648,-5.073721408843994
